date_utc,rollup_id,l2_fees_eth,rent_paid_eth,profit_eth,txcount
2024-02-20,arbitrum,515.90000000,138.45724200,377.44275800,1198500
2024-02-20,optimism,205.90000000,61.77000000,144.13000000,798500
2024-02-20,base,145.90000000,35.22609600,110.67390400,598500
2024-02-21,arbitrum,519.00000000,140.55039000,378.44961000,1201000
2024-02-21,optimism,208.30000000,62.11506000,146.18494000,800500
2024-02-21,base,148.50000000,35.64000000,112.86000000,600800
2024-02-22,arbitrum,522.10000000,140.54409900,381.55590100,1203500
2024-02-22,optimism,210.70000000,63.39963000,147.30037000,802500
2024-02-22,base,151.10000000,36.04641600,115.05358400,603100
2024-02-23,arbitrum,525.20000000,142.65482400,382.54517600,1206000
2024-02-23,optimism,213.10000000,63.73821000,149.36179000,804500
2024-02-23,base,153.70000000,36.99866400,116.70133600,605400
2024-02-24,arbitrum,528.30000000,142.64100000,385.65900000,1208500
2024-02-24,optimism,215.50000000,65.03790000,150.46210000,806500
2024-02-24,base,156.30000000,37.39946400,118.90053600,607700
2024-02-25,arbitrum,527.90000000,141.67780200,386.22219800,1211000
2024-02-25,optimism,214.40000000,64.32000000,150.08000000,808500
2024-02-25,base,155.40000000,37.51977600,117.88022400,610000
2024-02-26,arbitrum,531.00000000,143.80011000,387.19989000,1213500
2024-02-26,optimism,216.80000000,64.64976000,152.15024000,810500
2024-02-26,base,158.00000000,37.92000000,120.08000000,612300
2024-02-27,arbitrum,527.80000000,142.07848200,385.72151800,1212500
2024-02-27,optimism,212.90000000,64.06161000,148.83839000,809000
2024-02-27,base,154.30000000,36.80980800,117.49019200,611100
2024-02-28,arbitrum,530.90000000,144.20305800,386.69694200,1215000
2024-02-28,optimism,215.30000000,64.39623000,150.90377000,811000
2024-02-28,base,156.90000000,37.76896800,119.13103200,613400
2024-02-29,arbitrum,534.00000000,144.18000000,389.82000000,1217500
2024-02-29,optimism,217.70000000,65.70186000,151.99814000,813000
2024-02-29,base,159.50000000,38.16516000,121.33484000,615700
2024-03-01,arbitrum,533.60000000,143.20756800,390.39243200,1220000
2024-03-01,optimism,216.60000000,64.98000000,151.62000000,815000
2024-03-01,base,158.60000000,38.29238400,120.30761600,618000
2024-03-02,arbitrum,536.70000000,145.34372700,391.35627300,1222500
2024-03-02,optimism,219.00000000,65.30580000,153.69420000,817000
2024-03-02,base,161.20000000,38.68800000,122.51200000,620300
2024-03-03,arbitrum,539.80000000,145.30876200,394.49123800,1225000
2024-03-03,optimism,221.40000000,66.61926000,154.78074000,819000
2024-03-03,base,163.80000000,39.07612800,124.72387200,622600
2024-03-04,arbitrum,542.90000000,147.46249800,395.43750200,1227500
2024-03-04,optimism,223.80000000,66.93858000,156.86142000,821000
2024-03-04,base,166.40000000,40.05580800,126.34419200,624900
2024-03-05,arbitrum,539.70000000,145.71900000,393.98100000,1226500
2024-03-05,optimism,219.90000000,66.36582000,153.53418000,819500
2024-03-05,base,162.70000000,38.93085600,123.76914400,623700
2024-03-06,arbitrum,539.30000000,144.73733400,394.56266600,1229000
2024-03-06,optimism,218.80000000,65.64000000,153.16000000,821500
2024-03-06,base,161.80000000,39.06499200,122.73500800,626000
2024-03-07,arbitrum,542.40000000,146.88734400,395.51265600,1231500
2024-03-07,optimism,221.20000000,65.96184000,155.23816000,823500
2024-03-07,base,164.40000000,39.45600000,124.94400000,628300
2024-03-08,arbitrum,545.50000000,146.84314500,398.65685500,1234000
2024-03-08,optimism,223.60000000,67.28124000,156.31876000,825500
2024-03-08,base,167.00000000,39.83952000,127.16048000,630600
2024-03-09,arbitrum,548.60000000,149.01073200,399.58926800,1236500
2024-03-09,optimism,226.00000000,67.59660000,158.40340000,827500
2024-03-09,base,169.60000000,40.82611200,128.77388800,632900
2024-03-10,arbitrum,551.70000000,148.95900000,402.74100000,1239000
2024-03-10,optimism,228.40000000,68.93112000,159.46888000,829500
2024-03-10,base,172.20000000,41.20401600,130.99598400,635200
2024-03-11,arbitrum,551.30000000,147.95789400,403.34210600,1241500
2024-03-11,optimism,227.30000000,68.19000000,159.11000000,831500
2024-03-11,base,171.30000000,41.35867200,129.94132800,637500
2024-03-12,arbitrum,548.10000000,148.43096100,399.66903900,1240500
2024-03-12,optimism,223.40000000,66.61788000,156.78212000,830000
2024-03-12,base,167.60000000,40.22400000,127.37600000,636300
2024-03-13,arbitrum,551.20000000,71.44103200,479.75896800,1243000
